Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description,Ids,TMDB_Id,TMDB_Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,SciFi,TV,Thriller,War,Western,Bad Words
The Dark Knight Rises,2012,164,8.4,78.0,448.14,"17,61,545","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","(49026, [28, 80, 18, 53])",49026.0,"[28, 80, 18, 53]",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6
Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,190.24,"6,15,401",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"(324857, [28, 12, 16, 878])",324857.0,"[28, 12, 16, 878]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Raiders of the Lost Ark,1981,115,8.4,85.0,248.16,"10,06,763","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","(85, [12, 28])",85.0,"[12, 28]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Django Unchained,2012,165,8.4,81.0,162.81,"16,19,946","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","(68718, [18, 37])",68718.0,"[18, 37]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,91
Joker,2019,122,8.4,59.0,335.45,"13,81,002","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","(475557, [80, 53, 18])",475557.0,"[80, 53, 18]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4
Avengers: Endgame,2019,181,8.4,78.0,858.37,"12,00,821","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","(299534, [12, 878, 28])",299534.0,"[12, 878, 28]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19
The Shining,1980,146,8.4,66.0,44.02,"10,60,625","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","(694, [27, 53])",694.0,"[27, 53]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20
Aliens,1986,137,8.4,84.0,85.16,"7,38,697","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","(679, [28, 53, 878])",679.0,"[28, 53, 878]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,44
Oldeuboi,2003,101,8.4,77.0,0.71,"6,03,564","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","(None, None)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Avengers: Infinity War,2018,149,8.4,68.0,678.82,"11,42,664",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"(299536, [12, 28, 878])",299536.0,"[12, 28, 878]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
Apocalypse Now,1979,147,8.4,94.0,83.47,"6,87,709",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"(28, [18, 10752])",28.0,"[18, 10752]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,102
Amadeus,1984,160,8.4,87.0,51.97,"4,13,533","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","(279, [36, 10402, 18])",279.0,"[36, 10402, 18]",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8
Idi i smotri,1985,142,8.4,7.944444444444445,91,"88,282","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","(25237, [18, 10752])",25237.0,"[18, 10752]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,0.28,"5,03,942","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","(935, [18, 35, 10752])",935.0,"[18, 35, 10752]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
The Lives of Others,2006,137,8.4,89.0,11.29,"3,99,279","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","(582, [18, 53])",582.0,"[18, 53]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
Kimi no na wa.,2016,106,8.4,81.0,5.02,"2,93,932","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","(553301, [18, 14, 10749])",553301.0,"[18, 14, 10749]",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Coco,2017,105,8.4,81.0,209.73,"5,46,380","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","(354912, [10751, 16, 14, 10402, 35, 12])",354912.0,"[10751, 16, 14, 10402, 35, 12]",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
WALL·E,2008,98,8.4,95.0,223.81,"11,55,638","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","(10681, [16, 10751, 878])",10681.0,"[16, 10751, 878]",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Capharnaüm,2018,126,8.4,75.0,1.66,"97,339","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","(517814, [18])",517814.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
3 Idiots,2009,170,8.4,67.0,6.53,"4,15,008","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","(20453, [18, 35])",20453.0,"[18, 35]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Das Boot,1981,149,8.4,86.0,11.49,"2,57,484",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"(387, [18, 36, 10752])",387.0,"[18, 36, 10752]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,23
Paths of Glory,1957,88,8.4,90.0,62,"2,04,364","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","(975, [18, 10752])",975.0,"[18, 10752]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Sunset Blvd.,1950,110,8.4,94.0,61,"2,28,990",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"(664159, [99])",664159.0,[99],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witness for the Prosecution,1957,116,8.4,76.0,8.18,"1,31,199",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"(37257, [18, 9648, 80])",37257.0,"[18, 9648, 80]",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
The Great Dictator,1940,125,8.4,8.0,0.29,"2,30,579",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"(914, [35, 10752])",914.0,"[35, 10752]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tengoku to jigoku,1963,143,8.4,90.0,87,"48,880",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"(910691, [35, 18])",910691.0,"[35, 18]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Kaithi,2019,145,8.4,8.034615384615385,,"36,952","Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.","(587030, [28, 53])",587030.0,"[28, 53]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
